id,rawTweet,cleanedTweet,label
12,"satu-satunya tujuan lain yang dapat ia pikirkan adalah menghancurkan bolshevisme. oleh karena itu, ia memulai invasi ke rusia, dan dengan demikian membawa aliansi antara bolshevisme dan kekuatan barat. sekarang, dua gerakan ini berada di satu sisi dan kaum sosialis nasional",satu tuju pikir hancur bolshevisme invasi rusia bawa aliansi bolshevisme kuat barat gera sisi kaum sosialis nasional,positif
13,"bank sentral ukraina memperkenalkan uang kertas baru pecahan 20 hryvnia (rp8.278) untuk memperingati satu tahun invasi rusia.

",bank sentral ukraina kenal uang kertas pecah hryvnia ingat invasi rusia,positif
14,"menjelang peringatan dimulainya invasi rusia, jalan di depan misi diplomatik rusia di ibu kota inggris dicat biru dan kuning.",jelang ingat invasi rusia jalan misi diplomatik rusia kota inggris cat biru kuning,positif
15,"nhcr mengatakan bahwa lebih dari 8,08 juta pengungsi ukraina tiba di negara eropa sejak invasi rusia pada 24 februari. ",nhcr juta ungsi ukraina negara eropa invasi rusia februari,positif
16,dubes ukraina berharap perang dengan rusia segera usai  #invasirusia #dutabesarukraina #rudal #wahananewsco,dubes ukraina harap perang rusia invasirusia dutabesarukraina rudal wahananewsco,positif
17,zelensky jelang setahun invasi rusia: kami akan menang ,zelensky jelang tahun invasi rusia menang,positif
18,sekjen pbb sebut invasi rusia ke ukraina sebagai suatu penghinaan ,sekjen pbb invasi rusia ukraina hina,positif
19,"pertemuan ini adalah acara besar pertama kepresidenan g20 india, pada pertemuan tersebut bertepatan dengan peringatan 24 februari invasi rusia ke ukraina, dan perang kemungkinan akan menjadi agenda utama.",temu acara presiden india temu tepat ingat februari invasi rusia ukraina perang agenda utama,positif
20,"tak mau sebut perang, india yakinkan negara g20 bahwa invasi rusia atas ukrainan sebagai krisis  #trenasia",perang india yakin negara invasi rusia ukrainan krisis trenasia,positif
21,vasyl hamianin sebut media indonesia bantu luruskan propaganda rusia selama invasi ke ukraina  #mediaindonesia #propagandarusia #ukraina #vasylhamianin,vasyl hamianin media indonesia bantu lurus propaganda rusia invasi ukraina mediaindonesia propagandarusia ukraina vasylhamianin,positif
22,"perintah putin jelang setahun invasi: minta 3 komponen nuklir rusia diperkuat, ada rudal hingga jet

#rusiaukraina #vladimirputin #nuklir #beritaterkini 

",perintah putin jelang tahun invasi komponen nuklir rusia kuat rudal jet rusiaukraina vladimirputin nuklir beritaterkini,positif
23,vasyl mengatakan bahwa invasi rusia bermula pada februari 2014 bukan pada 2022 lalu. #newsupdate #update #news #text ,vasyl invasi rusia februari newsupdate update news text,netral
24,duta besar ukraina untuk indonesia menyebut krisis ekonomi dan invasi rusia bukan penyebab perang dunia ketiga.� ,duta ukraina indonesia sebut krisis ekonomi invasi rusia sebab perang dunia tiga ,positif
25,"invasi rusia berdampak langsung terhadap pertumbuhan ekonomi ukraina, ekspor pertanian turun 40 persen. ",invasi rusia dampak langsung tumbuh ekonomi ukraina ekspor tani turun persen,positif
26,"bagaimana kondisi terbaru situasi operasi militer rusia di ukraina?

simak berita soal setahun invasi rusia ke ukraina selengkapnya di?",kondisi baru situasi operasi militer rusia ukraina simak berita tahun invasi rusia ukraina lengkap,positif
27,"invasi rusia ke ukraina memasuki tahun kedua bulan ini.

korban tewas dan cedera dari kedua pihak mencapai ratusan ribu orang.

setelah berlangsung hampir setahun, belum ada tanda-tanda perang ini akan berhenti.

#majalahtempo ",invasi rusia ukraina pasuk korban tewas cedera capai ratus ribu orang tahun tanda tanda perang henti majalahtempo,positif
28,"meski tidak secara lugas, presiden rusia vladimir putin seolah memberikan gambaran tentang babak baru dari invasi rusia ke ukraina.",lugas presiden rusia vladimir putin gambar babak invasi rusia ukraina,positif
29,"setahun invasi rusia ke ukraina, tak ada tanda akan berakhir. memicu polarisasi geopolitik dunia. perang bisa terus meluas hinna ke penggunaan senjata nuklir. 

#majalahgatra #bacagatrabarubicara #gatramediagroup #rusia #ukraina ",tahun invasi rusia ukraina tanda picu polarisasi geopolitik dunia perang luas hinna guna senjata nuklir majalahgatra bacagatrabarubicara gatramediagroup rusia ukraina,positif
30,rusia tuding ukraina berencana invasi wilayah moldova pro-moskow ,rusia tuding ukraina rencana invasi wilayah moldova pro moskow,positif
31,rusia berdagang senjata di pameran abu dhabi di tengah invasi ke ukraina &gt;&gt;  ,rusia dagang senjata pamer abu dhabi invasi ukraina gt gt,positif
32,suasana kota-kota di ukraina jelang 1 tahun invasi rusia  #tempofoto,suasana kota kota ukraina jelang invasi rusia tempofoto,positif
33,"invasi rusia ke ukraina bakal masuki setahun, sekjen pbb mengutuk sebagai penghinaan hati nurani ",invasi rusia ukraina masuk tahun sekjen pbb kutuk hina hati nurani,positif
34,"jelang setahun invasi rusia ke ukraina, putin tangguhkan perjanjian nuklir new start  #tempografis",jelang tahun invasi rusia ukraina putin tangguh janji nuklir new start tempografis,positif
35,sekjen pbb antonio guterres: invasi rusia ke ukraina melanggar hukum internasional ,sekjen pbb antonio guterres invasi rusia ukraina langgar hukum internasional,positif
36,"sekjen pbb antonio guterres mengutuk invasi rusia ke ukraina saat majelis umum pbb bertemu, dua hari sebelum peringatan setahun serangan moskow tersebut. ",sekjen pbb antonio guterres kutuk invasi rusia ukraina majelis pbb temu ingat tahun serang moskow,positif
37,"putin sinyalkan gunakan nuklir jelang setahun invasi rusia di ukraina, perang masih lama? ",putin sinyal nuklir jelang tahun invasi rusia ukraina perang,positif
38,"@un you condemn russia. but you are afraid to condemn israel?
@rterdogan @mwlorg_en @jokowi



sekjen pbb antonio guterres mengutuk invasi rusia ke ukraina saat majelis umum pbb bertemu dalam sesi khusus pada rabu (22/2) waktu setempat.",un you condemn russia but you are afraid to condemn israel rterdogan mwlorg en jokowi sekjen pbb antonio guterres kutuk invasi rusia ukraina majelis pbb temu sesi khusus rabu,positif
39,rusia kehilangan setengah armada tank terbaik sejak invasi#short video ,rusia hilang armada tank baik invasi short video,positif
40,rusia kehilangan setengah armada tank terbaik sejak invasi ,rusia hilang armada tank baik invasi,positif
41,"tweeps, presiden as joe biden memuji kekuatan negara-negara bucharest nine di tengah invasi rusia ke ukraina. sementara itu, negosiasi tentang kode etik untuk laut cina selatan akan diintensifkan tahun ini, kata pejabat ri &amp; china. simak infonya di sini! ",tweeps presiden as joe biden puji kuat negara negara bucharest nine invasi rusia ukraina negosiasi kode etik laut cina selatan intensif jabat ri amp china simak info,positif
42,hari ini majelis umum pbb putuskan sikap tentang invasi rusia ke ukraina  #tempodunia,majelis pbb putus sikap invasi rusia ukraina tempodunia,positif
43,"""seperti yang saya katakan sejak hari pertama, invasi rusia ke ukraina bertentangan dengan prinsip dan nilai sistem multilateral kita.""  ",invasi rusia ukraina tentang prinsip nilai sistem multilateral,positif
44,"@el666diabloloco @harrytimteng @cnnindonesia semua miskalkulasi disini. zelenski dgn provoke nya menduga rusia paling banter cm berani unjuk gigi di perbatasan. trnyata rusia berani. putin jg gegabah ambil simpulan zelenski ini rempeyek yg bs hancur dlm hitungan minggu, mknya dia ambil opsi invasi penuh. ternyata ga begitu",harrytimteng cnnindonesia miskalkulasi zelenski dgn provoke nya duga rusia banter cm berani unjuk gigi batas trnyata rusia berani putin jg gegabah ambil simpul zelenski rempeyek yg bs hancur dlm hitung minggu mknya ambil opsi invasi penuh ga,positif
45,"jelang setahun invasi di ukraina, putin: hubungan rusia-china penting untuk stabilitas internasional ",jelang tahun invasi ukraina putin hubung rusia china stabilitas internasional,positif
46,ibu negara ukraina singgung pelanggaran ham rusia selama invasi ,negara ukraina singgung langgar ham rusia invasi,positif
47,"#vladimir putin#invasi#ukraina!

presiden rusia vladimur putin bersumpah akan melanjutkan invasi ke ukraina sampai tujuan rusia tercapai.

",vladimir putin invasi ukraina presiden rusia vladimur putin sumpah lanjut invasi ukraina tuju rusia capai,positif
48,"sejumlah merek ternama dari negara barat seperti coca-cola, zara dan ikea memutuskan angkat kaki dari rusia sebagai protes atas invasi ke ukraina. ",merek nama negara barat coca cola zara ikea putus angkat kaki rusia protes invasi ukraina,positif
49,paus desak gencatan senjata di ukraina menjelang peringatan invasi rusia  #tempodunia,paus desak gencat senjata ukraina jelang ingat invasi rusia tempodunia,positif
50,"setahun invasi ukraina, bagaimana pandangan publik rusia? ",tahun invasi ukraina pandang publik rusia,positif
51,"majelis umum pbb bersiap pemungutan suara untuk akhiri perang ukraina

majelis umum pbb akan melangsungkan pemungutan suara minggu ini atas resolusi yang menggarisbawahi urgensi perdamaian permanen di ukraina, satu tahun setelah invasi rusia

 ",majelis pbb mungut suara perang ukraina majelis pbb langsung mungut suara minggu resolusi menggarisbawahi urgensi damai permanen ukraina invasi rusia,positif
52,"faktanya, pemerintah indonesia belum pernah melakukan boikot terhadap produk uni eropa sebagai respon atas sikap ue yang memboikot minyak rusia setelah putin mengumumkan invasi rusia ke ukraina.
 
selengkapnya di  
#cekfakta #periksafakta",fakta perintah indonesia boikot produk uni eropa respon sikap ue boikot minyak rusia putin umum invasi rusia ukraina lengkap cekfakta periksafakta,positif
53,"kapitalisme tidak bisa mengontrol dirinya sendiri.

sejumlah merek ternama dari negara barat seperti coca-cola, zara dan ikea memutuskan angkat kaki dari rusia sebagai protes atas invasi ke ukraina.
 ",kapitalisme kontrol merek nama negara barat coca cola zara ikea putus angkat kaki rusia protes invasi ukraina,positif
54,@yo2thok barusan presiden as joe biden ketemu zalensky peringati setahun invasi agresor rusia. berjanji akan kirim bantuan militer lebih canggih.,barusan presiden as joe biden ketemu zalensky ingat tahun invasi agresor rusia janji kirim bantu militer canggih,positif
55,"sebentar lagi first anniversary invasi rusia ke ukraina, tapi tanda-tanda eskalasi semakin terlihat dengan safari kunjungan biden minggu ini?",sebentar first anniversary invasi rusia ukraina tanda tanda eskalasi safari kunjung biden minggu,positif
56,"setahun invasi rusia ke ukraina jatuh pada hari jumat (24/2/23).  

kantor komisaris tinggi pbb untuk hak asasi manusia mencatat setidaknya ada 8.006 warga sipil yang tewas dan 13.287 orang terluka di ukraina akibat invasi rusia. &lt; #global #rusiaukraina
",tahun invasi rusia ukraina jatuh jumat kantor komisaris pbb hak asasi manusia catat warga sipil tewas orang luka ukraina akibat invasi rusia lt global rusiaukraina,positif
57,setahun invasi rusia ke ukraina tewaskan  8 006 warga sipil tewas ,tahun invasi rusia ukraina tewas warga sipil tewas,positif
58,"profil letnan jenderal rustam muradov, sosok dibalik keberhasilan rusia invasi ukraina ",profil letnan jenderal rustam muradov sosok balik hasil rusia invasi ukraina,positif
59,@randytemanmu @cnnindonesia cari tau dulu alasan kenapa rusia invasi ukraina! dasar penyefong barat! penyepong amerika! penyepong penjajah!,randytemanmu cnnindonesia cari tau alas rusia invasi ukraina dasar penyefong barat penyepong amerika penyepong jajah,positif
60,"perusahaan eropa, amerika utara, dan jepang telah hengkang dari rusia sejak invasi. ",usaha eropa amerika utara jepang hengkang rusia invasi,positif
61,"profil yevgeny nikiforov, jendral muslim rusia dibalik suksesnya invasi ke ukraina ",profil yevgeny nikiforov jendral muslim rusia balik sukses invasi ukraina,positif
62,"hampir setahun berlalu sejak invasi rusia ke ukraina pada 24 februari 2022. berikut beberapa karya investigasi yang menyoroti invasi ini ?
",tahun invasi rusia ukraina februari karya investigasi sorot invasi,positif
63,"catatan: nmd: svo adalah akronim untuk ""operasi militer khusus"" di ukraina, sebuah eufemisme yang digunakan oleh otoritas rusia untuk menyebut invasi rusia ke ukraina",catat nmd svo akronim operasi militer khusus ukraina eufemisme otoritas rusia sebut invasi rusia ukraina,positif
64,"presiden amerika serikat joe biden, pada selasa (21/2) malam di warsawa, dengan tegas membela upaya aliansi barat selama satu tahun terakhir untuk membantu ukraina melawan invasi rusia, dan berjanji tidak akan menghentikan upaya bantuan tersebut.

",presiden amerika serikat joe biden selasa malam warsawa bela upaya aliansi barat bantu ukraina lawan invasi rusia janji henti upaya bantu,positif
65,leopard 2 dinilai krusial untuk mengalahkan invasi rusia  ,leopard nilai krusial kalah invasi rusia,positif
66,"kantor komisaris tinggi pbb untuk hak asasi manusia (ohchr) mencatat setidaknya ada 8.006 warga sipil yang tewas dan 13.287 orang yang terluka dalam 12 bulan terakhir di ukraina akibat invasi rusia.

",kantor komisaris pbb hak asasi manusia ohchr catat warga sipil tewas orang luka ukraina akibat invasi rusia,positif
67,@vidio warga rusia nonton bajakan sebagai balasan sanksi dari barat atas invasi rusia ke ukraina,vidio warga rusia nonton baja balas sanksi barat invasi rusia ukraina,positif
68,sepanjang invasi rusia sudah ratusan sekolah ukraina hancur.  ,invasi rusia ratus sekolah ukraina hancur,positif
69,kantor komisaris tinggi pbb untuk ham mencatat setidaknya 8.006 warga sipil tewas dan 13.287 terluka akibat invasi rusia setahun terakhir. ,kantor komisaris pbb ham catat warga sipil tewas luka akibat invasi rusia tahun,positif
70,"tweeps, ketegangan geopolitik meningkat setelah presiden as joe biden berpidato dari polandia, &amp; presiden rusia putin berpidato dari moskow jelang ssetahun invasi. dan, bagaimana pengaruh media rusia ke negara berkembang, termasuk indonesia? simak infonya! ",tweeps tegang geopolitik tingkat presiden as joe biden pidato polandia amp presiden rusia putin pidato moskow jelang ssetahun invasi pengaruh media rusia negara kembang indonesia simak info,positif
71,"presiden joe biden selasa (21/2), kembali berpidato di kastil warsawa, tempat ia berbicara pasca invasi rusia ke ukraina tahun lalu. biden menandaskan bahwa perang telah meneguhkan tekad barat untuk dukung ukraina dan membela demokrasi di seluruh dunia.
",presiden joe biden selasa pidato kastil warsawa bicara pasca invasi rusia ukraina biden perang teguh tekad barat dukung ukraina bela demokrasi dunia,positif
72,@pwidakuswara @mbhattacharya46 pepi aprianti utami  adalah orang indonesia yang tinggal di ukraina. dia adalah saksi kekejaman invasi rusia ,pwidakuswara pepi aprianti utami orang indonesia tinggal ukraina saksi kejam invasi rusia,positif
73,"rusia saat ini sdh ga beda dg soviet dl, tertutup dan represif. sejak invasi ke ukraina, sdh 20.000 orang dipenjara dan lebih dr 500,000 lari ke luar negeri

",rusia sdh ga beda dg soviet dl tutup represif invasi ukraina sdh orang penjara dr lari negeri,positif
74,@menlu_ri invasi rusia ke ukraina harus dikecam keras karena bertentangan dengan pembukaan uud 1945  alinea pertama,menlu ri invasi rusia ukraina kecam keras tentang buka uud alinea,positif
75,"biden sebut invasi rusia adalah ujian bagi as, nato, eropa dan dunia ",biden invasi rusia uji as nato eropa dunia,positif
76,"@trinitym234 @backmrbobo @pengarang_sajak semua saluran imformasi skrng yg punya perusahaan? besar. dibelakangnya siapa tinggal kontrol. skrng semua asset org rusia disita? semua sm barat. amerika invasi afagnistan lebanon iraq pd diem

bullshit partai demokrat amerika, amerika cuma hidup dari perang buat jalanin ekonomi",backmrbobo arang sajak salur imformasi skrng yg usaha belakang tinggal kontrol skrng asset org rusia sita sm barat amerika invasi afagnistan lebanon iraq pd diem bullshit partai demokrat amerika amerika hidup perang jalanin ekonomi,positif
77,"putin tangguhkan perjanjian new start, ketegangan rusia dan barat meningkat setelah invasi ukraina - ",putin tangguh janji new start tegang rusia barat tingkat invasi ukraina,positif
78,"setahun invasi rusia, dubes uni eropa: waspadai dampak global

",tahun invasi rusia dubes uni eropa waspada dampak global,positif
79,"@pengarang_sajak rusia itu invasi ukraiani 24 februari 2022, jevelin us itu masuk ukraina mei 2022 saat rusia sdh gagal taklukan kiev. himars tiba di ukraina 23 juni 22. cuma 20 himars broh ? selebihnya ukraina hanya andalkan senjata lama buatan rusia dan 12 unit uav bayraktar buatan turki.",arang sajak rusia invasi ukraiani februari jevelin us masuk ukraina mei rusia sdh gagal takluk kiev himars ukraina juni himars broh lebih ukraina andal senjata buat rusia unit uav bayraktar buat turki,positif
80,"peringatan setahun perang di ukraina, putin salahkan as dan nato. kyiv telah meminta bantuan persenjataan kepada negara-negara barat sebelum dimulai invasi rusia. dan rusia telah melakukan segala cara untuk menghindari perang.  ",ingat tahun perang ukraina putin salah as nato kyiv bantu senjata negara negara barat invasi rusia rusia hindar perang,positif
81,@conversationidn pepi aprianti utami adalah orang indonesia yang tinggal di ukraina. dia punya akun instagram radio ukraina yang memberitakan kekejaman invasi rusia. dia bekerja sama dengan kedutaan besar ukraina di indonesia,conversationidn pepi aprianti utami orang indonesia tinggal ukraina akun instagram radio ukraina berita kejam invasi rusia duta ukraina indonesia,positif
82,putin berpidato menjelang peringatan satu tahun invasi rusia ke ukraina. ,putin pidato jelang ingat invasi rusia ukraina,positif
83,"invasi rusia ke ukraina, beberapa hari menjelang peringatan satu tahunnya, adalah topik dari dua pidato terkemuka pada selasa (21/2) saat presiden rusia vladimir putin berpidato di depan parlemen negaranya.

",invasi rusia ukraina jelang ingat tahun topik pidato muka selasa presiden rusia vladimir putin pidato parlemen negara,positif
84,pidato putin disampaikan di moskow pada selasa (21/2) jelang satu tahun invasi rusia ke ukraina. #newsupdate #update #news #text ,pidato putin moskow selasa jelang invasi rusia ukraina newsupdate update news text,positif
85,"kunjungan ini merupakan yg pertama kalinya &amp; beberapa hari jelang peringatan satu tahun invasi rusia. biden mengatakan bahwa dia ada di sana untuk menunjukkan dukungan as terhadap kemerdekaan, kedaulatan &amp; integritas wilayah negara ukraina.



#as #ukraina",kunjung yg kali amp jelang ingat invasi rusia biden dukung as merdeka daulat amp integritas wilayah negara ukraina as ukraina,positif
86,"@conversationidn ada 2 pandangan saya tentang invasi rusia ke ukraina yaitu secara umum dan spesifik.
secara umum tentunya adalah persaingan erofa barat dan timur, secara spesifik menurut saya, ada sesuatu yg ditargetkan kpd para penganut kristen ortodok dari pihak zionis sm halnya dgn disyiria-",conversationidn pandang invasi rusia ukraina spesifik saing erofa barat timur spesifik yg target kpd anut kristen ortodok zionis sm hal dgn disyiria,positif
87,"@kontannews sama sja as sring lakukan pembantaian &amp; kejahatan manusia, kalian sama2 ngara agresor &amp; layak utk dihancurkan ekonominya, as sampai dunia kiamat tdk akan bisa bayar utang maka rusia sdh mulai minum racun sejak 10 th lalu &amp; merasa kuat lalu invasi.

buuuahahahahahahahahahahahahaha",kontannews sja as sring laku bantai amp jahat manusia ngara agresor amp layak utk hancur ekonomi as dunia kiamat tdk bayar utang rusia sdh minum racun th amp kuat invasi buuuahahahahahahahahahahahahaha,positif
88,"ekonomi rusia susut 2,1% akibat invasi ke ukraina #ekonomi #rusia #invasi ",ekonomi rusia susut akibat invasi ukraina ekonomi rusia invasi,positif
89,china ungkap pejabat beijing kunjungi rusia jelang setahun invasi ,china jabat beijing kunjung rusia jelang tahun invasi,positif
90,"presiden rusia vladimir putin menyampaikan pidato kenegaraannya pada hari selasa (21/2), menjelang peringatan setahun invasi rusia ke ukraina.  ",presiden rusia vladimir putin pidato negara selasa jelang ingat tahun invasi rusia ukraina,positif
91,"pura-pura pintar padahal dengan satu perintah invasi bodoh sekali hap menghancurkan potensi pertumbuhan ekonomi rusia untuk bertahun-tahun bahkan bergenerasi. 

padahal belasan tahun sudah ""ditoleransi"" (chechnya, georgia, kazakhstan, bahkan ukraina berkali-kali).",pura pura pintar perintah invasi bodoh hap hancur potensi tumbuh ekonomi rusia tahun generasi bas toleransi chechnya georgia kazakhstan ukraina kali kali,positif
92,"dampak invasi:
sanksi/embargo utk rusia,dampak ke kita tdk bisa harwat alutsista kita asal rusia,apakah perlu cari alternatif?atau segera diganti pes baru?ada uangnya?dari neg mana?",dampak invasi sanksi embargo utk rusia dampak tdk harwat alutsista rusia cari alternatif ganti pes uang neg,positif
93,"paparan novan:
satu tahun invasi rusia ke ukraina
pelajaran bagi pembangunan sektor pertahanan indonesia",papar novan invasi rusia ukraina ajar bangun sektor tahan indonesia,positif
94,invasi rusia ke ukraina sudah berlangsung setahun. tak ada tanda-tanda perang akan berakhir dalam waktu dekat. nato dan sejumlah pihak pesimistis. ,invasi rusia ukraina tahun tanda tanda perang nato pesimistis,positif
95,presiden amerika serikat melakukan kunjungan mendadak ke ukraina pada senin. biden berjanji akan terus mendukung ukraina dan memberikan bantuan militer baru ke ukraina. kunjungan biden dilakukan menjelang peringatan satu tahun invasi rusia.  ,presiden amerika serikat kunjung dadak ukraina senin biden janji dukung ukraina bantu militer ukraina kunjung biden jelang ingat invasi rusia,positif
96,joe biden melakukan kunjungan mendadak ke ukraina jelang satu tahun invasi rusia. apa yang akan mereka bahas? simak video berikut. #newsupdate #update #news #newsflash ,joe biden kunjung dadak ukraina jelang invasi rusia bahas simak video newsupdate update news newsflash,positif
97,"tegangnya perjalanan biden ke ukraina, jelang setahun invasi rusia
 ",tegang jalan biden ukraina jelang tahun invasi rusia,positif
98,"setahun invasi rusia ke ukraina, kebutuhan peralatan militer meningkat dan amunisi baru mendominasi pembicaraan. perlombaan senjata baru pun dimulai. ",tahun invasi rusia ukraina butuh alat militer tingkat amunisi dominasi bicara lomba senjata,positif
99,biden berada di kiev menjelang peringatan satu tahun invasi rusia ke ukraina. ,biden kiev jelang ingat invasi rusia ukraina,positif
100,"invasi rusia ke ukraina memasuki tahun kedua bulan ini.

perang rusia-ukraina selama berbulan-bulan di bakhmut ini memakan korban ratusan orang ukraina dan rusia setiap hari.  

#majalahtempo ",invasi rusia ukraina pasuk perang rusia ukraina bulan bakhmut makan korban ratus orang ukraina rusia majalahtempo,positif
101,"majelis umum pbb akan melangsungkan pemungutan suara pada minggu ini mengenai resolusi yang menggarisbawahi urgensi untuk menemukan perdamaian abadi di ukraina, satu tahun setelah invasi rusia pada 24 februari 2022.

",majelis pbb langsung mungut suara minggu resolusi menggarisbawahi urgensi temu damai abadi ukraina invasi rusia februari,positif
102,biden kunjungi kiev jelang setahun invasi rusia di ukraina ,biden kunjung kiev jelang tahun invasi rusia ukraina,positif
103,biden kunjungi ukraina jelang peringatan 1 tahun invasi rusia  ,biden kunjung ukraina jelang ingat invasi rusia,positif
104,"jelang satu tahun invasi rusia, joe biden temui zelensky di kyiv ",jelang invasi rusia joe biden temu zelensky kyiv,positif
105,mengenang 1 tahun invasi rusia ke ukraina ,kenang invasi rusia ukraina,positif
106,"presiden as joe biden hari senin kemarin melakukan kunjungan mendadak ke kiev, dan menjanjikan persenjataan baru dan dukungan bagi sekutu mereka ukraina menjelang peringatan 1 tahun invasi rusia. ",presiden as joe biden senin kemarin kunjung dadak kiev janji senjata dukung sekutu ukraina jelang ingat invasi rusia,positif
107,"presiden as joe biden melakukan kunjungan dadakan ke ukraina. dalam kunjungan ini, joe biden membahas topik seputar invasi rusia dengan presiden ukraina volodymyr zelenskiy. ",presiden as joe biden kunjung dada ukraina kunjung joe biden bahas topik putar invasi rusia presiden ukraina volodymyr zelenskiy,positif
108,@yo2thok kalian bangga rusia invasi ke ukraine negara berdaulat. tapi ga tau kalau efeknya bisa ke indonesia. pemuja putin emang aneh,bangga rusia invasi ukraine negara daulat ga tau efek indonesia puja putin emang aneh,positif
109,"tweeps, presiden as joe biden mengunjungi kyiv, ukraina secara mendadak, menjelang peringatan setahun invasi rusia. sementara, jubir menhan ri menilai ketakutan terkait wacana penambahan kodam di setiap provinsi berlebihan. simak infonya di sini! ",tweeps presiden as joe biden unjung kyiv ukraina dadak jelang ingat tahun invasi rusia jubir menhan ri nilai takut kait wacana tambah kodam provinsi simak info,positif
110,"ekonomi rusia tertolong oleh lonjakan harga komoditas ekspor yang mampu mengimbangi dampak dari sanksi yang di jatuhkan as dan uni eropa atas invasi rusia ke ukrania. 

*disclaimer on",ekonomi rusia tolong lonjak harga komoditas ekspor imbang dampak sanksi jatuh as uni eropa invasi rusia ukrania disclaimer on,positif
111,foto: momen joe biden diam-diam ke ukraina jelang 1 tahun invasi rusia ,foto momen joe biden diam diam ukraina jelang invasi rusia,positif
112,"kenaikan harga bahan pokok akibat invasi rusia ke ukraina turut membuat anak-anak di afrika kekurangan gizi. dalam jangka panjang, afrika akan kesulitan  berkembang dan selalu menjadi benua yang terbelakang.



 #internasional #adadikompas",naik harga bahan pokok akibat invasi rusia ukraina anak anak afrika kurang gizi jangka afrika sulit kembang benua belakang internasional adadikompas,positif
113,"jelang satu tahun invasi rusia ke ukraina, joe biden kunjungi ukraina di tengah ancaman serangan rudal rusia - jakarta insider ",jelang invasi rusia ukraina joe biden kunjung ukraina ancam serang rudal rusia jakarta insider,positif
114,video: kunjungan dadakan biden ke ukraina jelang 1 tahun invasi rusia ,video kunjung dada biden ukraina jelang invasi rusia,positif
115,"jelang setahun invasi rusia, amerika serikat umumkan akan mendukung ukraina selama masih diperlukan ",jelang tahun invasi rusia amerika serikat umum dukung ukraina,positif
116,"satu tahun invasi rusia, joe biden kunjungi ukraina diam-diam ",invasi rusia joe biden kunjung ukraina diam diam,positif
117,"@tsamaradki berikut daftar wni yang pernah dan masih tinggal di ukraina sehingga dapat menjadi saksi kekejaman invasi rusia :
1. vanda sakina damayanti
2. pepi aprianti utami
3. benni sitanggang
4. rini khuludkova
5. nani agustin
6. dan lain-lain",tsamaradki daftar wni tinggal ukraina saksi kejam invasi rusia vanda sakina damayanti pepi aprianti utami benni sitanggang rini khuludkova nan agustin,positif
118,joe biden lakukan kunjungan dadakan ke ukraina di tengah invasi rusia  #tempofoto,joe biden laku kunjung dada ukraina invasi rusia tempofoto,positif
119,"@sigitwid @uki23 berikut daftar wni yang pernah dan masih tinggal di ukraina sehingga dapat menjadi saksi kekejaman invasi rusia :
1. vanda sakina damayanti
2. pepi aprianti utami
3. benni sitanggang
4. rini khuludkova
5.  nani agustin
6. dan lain-lain",sigitwid daftar wni tinggal ukraina saksi kejam invasi rusia vanda sakina damayanti pepi aprianti utami benni sitanggang rini khuludkova nan agustin,positif
120,"@simanjunt9 @shupesyaru @dennysiregar7 berikut daftar wni yang pernah dan masih tinggal di ukraina sehingga dapat menjadi saksi kekejaman invasi rusia :
1. vanda sakina damayanti
2. pepi aprianti utami
3. benni sitanggang
4. rini khuludkova
5.  nani agustin
6. dan lain-lain",shupesyaru daftar wni tinggal ukraina saksi kejam invasi rusia vanda sakina damayanti pepi aprianti utami benni sitanggang rini khuludkova nan agustin,positif
